id,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
341799,https://inaturalist-open-data.s3.amazonaws.com/photos/426079/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
378077,https://inaturalist-open-data.s3.amazonaws.com/photos/472843/medium.jpg,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
397370,https://static.inaturalist.org/photos/497250/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
418112,https://inaturalist-open-data.s3.amazonaws.com/photos/526837/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
502014,https://inaturalist-open-data.s3.amazonaws.com/photos/638985/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
517300,https://static.inaturalist.org/photos/659337/medium.jpg,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
533057,https://inaturalist-open-data.s3.amazonaws.com/photos/677831/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
547448,https://inaturalist-open-data.s3.amazonaws.com/photos/698991/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
561737,https://inaturalist-open-data.s3.amazonaws.com/photos/715635/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
562466,https://inaturalist-open-data.s3.amazonaws.com/photos/716553/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
612401,https://inaturalist-open-data.s3.amazonaws.com/photos/771947/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
615322,https://inaturalist-open-data.s3.amazonaws.com/photos/775958/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
663025,https://static.inaturalist.org/photos/835424/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
664046,https://static.inaturalist.org/photos/836671/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
685676,https://inaturalist-open-data.s3.amazonaws.com/photos/862887/medium.JPG,Chukar Partridge,Alectoris chukar,Азиатский кеклик,Aves,846
719324,https://inaturalist-open-data.s3.amazonaws.com/photos/904040/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
745226,https://inaturalist-open-data.s3.amazonaws.com/photos/936917/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
747693,https://inaturalist-open-data.s3.amazonaws.com/photos/939797/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
822993,https://inaturalist-open-data.s3.amazonaws.com/photos/1038690/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
874128,https://inaturalist-open-data.s3.amazonaws.com/photos/1109404/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
894958,https://inaturalist-open-data.s3.amazonaws.com/photos/1138460/medium.JPG,Alectoris chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1024195,https://inaturalist-open-data.s3.amazonaws.com/photos/1284021/medium.jpg,Alectoris chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1101868,https://inaturalist-open-data.s3.amazonaws.com/photos/1385059/medium.JPG,Perdrix rouge,Alectoris rufa,Красная куропатка,Aves,867
1129145,https://inaturalist-open-data.s3.amazonaws.com/photos/1419798/medium.JPG,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
1170668,https://inaturalist-open-data.s3.amazonaws.com/photos/1476991/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
1173301,https://static.inaturalist.org/photos/1480580/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1276026,https://inaturalist-open-data.s3.amazonaws.com/photos/1600643/medium.JPG,chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1335867,https://inaturalist-open-data.s3.amazonaws.com/photos/1653592/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1353629,https://inaturalist-open-data.s3.amazonaws.com/photos/1675044/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1365070,https://inaturalist-open-data.s3.amazonaws.com/photos/1688570/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1515387,https://inaturalist-open-data.s3.amazonaws.com/photos/1877298/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1524388,https://inaturalist-open-data.s3.amazonaws.com/photos/1889129/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
1561866,https://static.inaturalist.org/photos/1933714/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
1583669,https://inaturalist-open-data.s3.amazonaws.com/photos/1955070/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1584460,https://inaturalist-open-data.s3.amazonaws.com/photos/1955344/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1600799,https://static.inaturalist.org/photos/1967809/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1621696,https://inaturalist-open-data.s3.amazonaws.com/photos/1991444/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1631000,https://static.inaturalist.org/photos/2000464/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
1677546,https://static.inaturalist.org/photos/2040293/medium.,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1759483,https://inaturalist-open-data.s3.amazonaws.com/photos/2133606/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1870775,https://inaturalist-open-data.s3.amazonaws.com/photos/2277859/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
1921985,https://inaturalist-open-data.s3.amazonaws.com/photos/2349323/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
1927177,https://inaturalist-open-data.s3.amazonaws.com/photos/2388717/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1931220,https://static.inaturalist.org/photos/2362707/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
1933980,https://inaturalist-open-data.s3.amazonaws.com/photos/2366142/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
1953163,https://inaturalist-open-data.s3.amazonaws.com/photos/2393118/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2011337,https://inaturalist-open-data.s3.amazonaws.com/photos/2449280/medium.JPG,Perdrix rouge,Alectoris rufa,Красная куропатка,Aves,867
2011340,https://inaturalist-open-data.s3.amazonaws.com/photos/2449283/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2011363,https://inaturalist-open-data.s3.amazonaws.com/photos/2449310/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2086999,https://static.inaturalist.org/photos/2496746/medium.jpg,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
2129499,https://inaturalist-open-data.s3.amazonaws.com/photos/2531853/medium.JPG,Perdiu roja,Alectoris rufa,Красная куропатка,Aves,867
2253499,https://static.inaturalist.org/photos/2552156/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2260161,https://static.inaturalist.org/photos/2553065/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2283450,https://inaturalist-open-data.s3.amazonaws.com/photos/2556350/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2319432,https://inaturalist-open-data.s3.amazonaws.com/photos/2579950/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2358628,https://inaturalist-open-data.s3.amazonaws.com/photos/2623493/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2376718,https://inaturalist-open-data.s3.amazonaws.com/photos/2647399/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2380357,https://inaturalist-open-data.s3.amazonaws.com/photos/2652204/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2390105,https://inaturalist-open-data.s3.amazonaws.com/photos/2661951/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2393517,https://inaturalist-open-data.s3.amazonaws.com/photos/2666682/medium.jpg,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
2405670,https://inaturalist-open-data.s3.amazonaws.com/photos/2683836/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2452555,https://inaturalist-open-data.s3.amazonaws.com/photos/2740544/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2452754,https://inaturalist-open-data.s3.amazonaws.com/photos/2740820/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2630453,https://inaturalist-open-data.s3.amazonaws.com/photos/2947500/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2669657,https://inaturalist-open-data.s3.amazonaws.com/photos/2999757/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2688571,https://inaturalist-open-data.s3.amazonaws.com/photos/3023337/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2702995,https://inaturalist-open-data.s3.amazonaws.com/photos/3044182/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2737894,https://inaturalist-open-data.s3.amazonaws.com/photos/3090741/medium.JPG,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
2762253,https://inaturalist-open-data.s3.amazonaws.com/photos/3126046/medium.JPG,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2765288,https://inaturalist-open-data.s3.amazonaws.com/photos/3130281/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2768740,https://inaturalist-open-data.s3.amazonaws.com/photos/3134771/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2768741,https://inaturalist-open-data.s3.amazonaws.com/photos/3134772/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2768755,https://inaturalist-open-data.s3.amazonaws.com/photos/3134930/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2768798,https://inaturalist-open-data.s3.amazonaws.com/photos/3134985/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2768817,https://inaturalist-open-data.s3.amazonaws.com/photos/3135037/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2768825,https://inaturalist-open-data.s3.amazonaws.com/photos/3135038/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2776255,https://inaturalist-open-data.s3.amazonaws.com/photos/3145236/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2851942,https://inaturalist-open-data.s3.amazonaws.com/photos/3253049/medium.jpg,Rock Partridge,Alectoris graeca,Европейский кеклик,Aves,863
2885712,https://inaturalist-open-data.s3.amazonaws.com/photos/3298034/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2905613,https://inaturalist-open-data.s3.amazonaws.com/photos/3323920/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2908910,https://inaturalist-open-data.s3.amazonaws.com/photos/3328082/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
2930440,https://static.inaturalist.org/photos/3357798/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2955811,https://static.inaturalist.org/photos/3391498/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2965578,https://static.inaturalist.org/photos/3405419/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2977834,https://inaturalist-open-data.s3.amazonaws.com/photos/3422497/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2986424,https://inaturalist-open-data.s3.amazonaws.com/photos/3433620/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
2993384,https://inaturalist-open-data.s3.amazonaws.com/photos/3443124/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
3036082,https://static.inaturalist.org/photos/3495247/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3053909,https://inaturalist-open-data.s3.amazonaws.com/photos/3518109/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3073253,https://inaturalist-open-data.s3.amazonaws.com/photos/3541928/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3094447,https://inaturalist-open-data.s3.amazonaws.com/photos/3569225/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3118957,https://inaturalist-open-data.s3.amazonaws.com/photos/3606692/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3118963,https://inaturalist-open-data.s3.amazonaws.com/photos/3606701/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3155338,https://inaturalist-open-data.s3.amazonaws.com/photos/3647423/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3157867,https://inaturalist-open-data.s3.amazonaws.com/photos/3650216/medium.JPG,Alectoris chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3186910,https://inaturalist-open-data.s3.amazonaws.com/photos/3688048/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3207085,https://inaturalist-open-data.s3.amazonaws.com/photos/3711999/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3268717,https://inaturalist-open-data.s3.amazonaws.com/photos/3777410/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3268737,https://inaturalist-open-data.s3.amazonaws.com/photos/3777479/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3278923,https://inaturalist-open-data.s3.amazonaws.com/photos/3791012/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
3304217,https://inaturalist-open-data.s3.amazonaws.com/photos/3819169/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3330544,https://inaturalist-open-data.s3.amazonaws.com/photos/3845883/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3373564,https://inaturalist-open-data.s3.amazonaws.com/photos/3895271/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3373570,https://inaturalist-open-data.s3.amazonaws.com/photos/3895342/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3426447,https://static.inaturalist.org/photos/3969121/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3462978,https://inaturalist-open-data.s3.amazonaws.com/photos/4020952/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3477540,https://inaturalist-open-data.s3.amazonaws.com/photos/4042911/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3504593,https://inaturalist-open-data.s3.amazonaws.com/photos/4078329/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3511338,https://inaturalist-open-data.s3.amazonaws.com/photos/4087767/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3516204,https://inaturalist-open-data.s3.amazonaws.com/photos/4117743/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3583779,https://static.inaturalist.org/photos/4154965/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3633264,https://inaturalist-open-data.s3.amazonaws.com/photos/4198035/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3652812,https://inaturalist-open-data.s3.amazonaws.com/photos/4227051/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3673376,https://inaturalist-open-data.s3.amazonaws.com/photos/4254547/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3677456,https://inaturalist-open-data.s3.amazonaws.com/photos/4261095/medium.JPG,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3704697,https://inaturalist-open-data.s3.amazonaws.com/photos/4301605/medium.jpeg,Perdiu roja,Alectoris rufa,Красная куропатка,Aves,867
3744031,https://inaturalist-open-data.s3.amazonaws.com/photos/4354168/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
3753006,https://static.inaturalist.org/photos/4368430/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3757044,https://static.inaturalist.org/photos/4374712/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3801626,https://inaturalist-open-data.s3.amazonaws.com/photos/4440598/medium.jpg,Alectoris,Alectoris,Кеклики,Aves,845
3841226,https://static.inaturalist.org/photos/9263758/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
3881839,https://inaturalist-open-data.s3.amazonaws.com/photos/4554452/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
3910899,https://inaturalist-open-data.s3.amazonaws.com/photos/4598244/medium.jpeg,Alectoris rufa rufa,Alectoris rufa rufa,,Aves,630044
3962002,https://inaturalist-open-data.s3.amazonaws.com/photos/4671080/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
3986446,https://inaturalist-open-data.s3.amazonaws.com/photos/4705779/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4025328,https://inaturalist-open-data.s3.amazonaws.com/photos/4757649/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4054090,https://inaturalist-open-data.s3.amazonaws.com/photos/4802298/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4060488,https://inaturalist-open-data.s3.amazonaws.com/photos/4810849/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4154298,https://inaturalist-open-data.s3.amazonaws.com/photos/4947384/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4156180,https://static.inaturalist.org/photos/4949896/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4197282,https://static.inaturalist.org/photos/5001496/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4229898,https://inaturalist-open-data.s3.amazonaws.com/photos/5052187/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4268969,https://inaturalist-open-data.s3.amazonaws.com/photos/5111364/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4303851,https://inaturalist-open-data.s3.amazonaws.com/photos/5166595/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4317351,https://static.inaturalist.org/photos/5189064/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4429386,https://inaturalist-open-data.s3.amazonaws.com/photos/5329082/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4433916,https://static.inaturalist.org/photos/5335320/medium.jpg,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
4481416,https://inaturalist-open-data.s3.amazonaws.com/photos/5410462/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4500461,https://inaturalist-open-data.s3.amazonaws.com/photos/5439956/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4505167,https://inaturalist-open-data.s3.amazonaws.com/photos/5448460/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4516368,https://inaturalist-open-data.s3.amazonaws.com/photos/5465755/medium.jpeg,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
4531203,https://inaturalist-open-data.s3.amazonaws.com/photos/5489187/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4541090,https://inaturalist-open-data.s3.amazonaws.com/photos/5499203/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4586896,https://inaturalist-open-data.s3.amazonaws.com/photos/5541954/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4586897,https://inaturalist-open-data.s3.amazonaws.com/photos/5541955/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4586898,https://inaturalist-open-data.s3.amazonaws.com/photos/5541956/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4586899,https://inaturalist-open-data.s3.amazonaws.com/photos/5541957/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4651147,https://inaturalist-open-data.s3.amazonaws.com/photos/5629423/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4651522,https://inaturalist-open-data.s3.amazonaws.com/photos/5629856/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4656649,https://inaturalist-open-data.s3.amazonaws.com/photos/5636809/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4704933,https://inaturalist-open-data.s3.amazonaws.com/photos/5694795/medium.jpg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4727158,https://inaturalist-open-data.s3.amazonaws.com/photos/5715402/medium.jpeg,Birds,Alectoris chukar,Азиатский кеклик,Aves,846
4740597,https://inaturalist-open-data.s3.amazonaws.com/photos/5740357/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4740598,https://inaturalist-open-data.s3.amazonaws.com/photos/5740358/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
4741094,https://inaturalist-open-data.s3.amazonaws.com/photos/5741429/medium.jpeg,Alectoris rufa intercedens,Alectoris rufa intercedens,,Aves,630043
4765620,https://inaturalist-open-data.s3.amazonaws.com/photos/5801353/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4780613,https://inaturalist-open-data.s3.amazonaws.com/photos/5824121/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4780623,https://inaturalist-open-data.s3.amazonaws.com/photos/5824139/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4862810,https://static.inaturalist.org/photos/5905897/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4865350,https://inaturalist-open-data.s3.amazonaws.com/photos/5909538/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
4948827,https://inaturalist-open-data.s3.amazonaws.com/photos/6035779/medium.jpeg,Chukar,Alectoris,Кеклики,Aves,845
5000228,https://inaturalist-open-data.s3.amazonaws.com/photos/6112124/medium.jpeg,Alectoris barbara koenigi,Alectoris barbara koenigi,,Aves,625973
5023870,https://inaturalist-open-data.s3.amazonaws.com/photos/6148407/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
5029987,https://inaturalist-open-data.s3.amazonaws.com/photos/6157747/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5084166,https://inaturalist-open-data.s3.amazonaws.com/photos/6244307/medium.jpg,Alectoris barbara koenigi,Alectoris barbara koenigi,,Aves,625973
5084283,https://inaturalist-open-data.s3.amazonaws.com/photos/6244515/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5085477,https://static.inaturalist.org/photos/6246245/medium.jpeg,Red-legged Partridge,Alectoris rufa,Красная куропатка,Aves,867
5088566,https://static.inaturalist.org/photos/6250960/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5191221,https://inaturalist-open-data.s3.amazonaws.com/photos/6404230/medium.jpeg,Coturnice,Alectoris graeca,Европейский кеклик,Aves,863
5282337,https://inaturalist-open-data.s3.amazonaws.com/photos/6531503/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5298836,https://static.inaturalist.org/photos/6558121/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5441307,https://inaturalist-open-data.s3.amazonaws.com/photos/6695923/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5456967,https://inaturalist-open-data.s3.amazonaws.com/photos/6716444/medium.jpg,Perdrix rouge,Alectoris rufa,Красная куропатка,Aves,867
5488480,https://inaturalist-open-data.s3.amazonaws.com/photos/6761117/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5488751,https://static.inaturalist.org/photos/6762106/medium.jpeg,Coturnice,Alectoris graeca,Европейский кеклик,Aves,863
5492660,https://static.inaturalist.org/photos/6767363/medium.jpg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5528725,https://static.inaturalist.org/photos/6821718/medium.jpeg,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5529518,https://static.inaturalist.org/photos/6822697/medium.png,Chukar,Alectoris chukar,Азиатский кеклик,Aves,846
5540480,https://inaturalist-open-data.s3.amazonaws.com/photos/6838935/medium.jpeg,Perdrix rouge,Alectoris rufa,Красная куропатка,Aves,867
5555384,https://inaturalist-open-data.s3.amazonaws.com/photos/6857968/medium.jpg,Perdiz roja,Alectoris rufa,Красная куропатка,Aves,867
